year,state,p_poor_mental,gun_suicides,population,fem_fs_s,male_fs_s,mean_fs_s
1995,Wisconsin,0.08096980786825252,344,5138326,0.205357143,0.629411765,0.41738445399999996
1995,Wyoming,0.07465781833264205,42,478437,0.625,0.743243243,0.6841216215
1996,Alabama,0.09635666347075743,400,4293194,0.699029126,0.8,0.749514563
1996,Alaska,0.08445040214477212,76,605617,0.523809524,0.747474747,0.6356421355
1996,Arizona,0.07080554130323242,491,4433533,0.540145985,0.707979626,0.6240628054999999
1996,Arkansas,0.09768492377188029,229,2506075,0.610169492,0.761363636,0.685766564
1996,California,0.08413098236775819,1709,31779860,0.286666667,0.562452972,0.4245598195
1996,Colorado,0.08585858585858586,396,3815290,0.408,0.606326889,0.5071634445
1996,Connecticut,0.08769994484280198,119,3265835,0.169491525,0.472103004,0.3207972645
1996,Delaware,0.07461977186311787,54,727444,0.294117647,0.6125,0.4533088235
1996,District of Columbia,0.08600337268128162,0,541586,NA,NA,NA
1996,Florida,0.09974497024652876,1252,14428514,0.395833333,0.628704242,0.5122687875
1996,Georgia,0.05372250423011844,644,7336855,0.636986301,0.764216366,0.7006013335
1996,Hawaii,0.08661048689138577,25,1188472,0.103448276,0.244897959,0.1741731175
1996,Idaho,0.08637873754152824,118,1186754,0.466666667,0.74829932,0.6074829935
1996,Illinois,0.08791593695271453,484,11939641,0.295454545,0.504161712,0.3998081285
1996,Indiana,0.09620721554116558,477,5830099,0.431818182,0.693069307,0.5624437445
1996,Iowa,0.08507670850767085,175,2849786,0.32,0.586715867,0.4533579335
1996,Kansas,0.06801007556675064,205,2585623,0.482758621,0.641304348,0.5620314845000001
1996,Kentucky,0.1623285754268122,338,3883997,0.544303797,0.738386308,0.6413450525
1996,Louisiana,0.09907692307692308,381,4341924,0.476635514,0.794811321,0.6357234174999999
1996,Maine,0.09020771513353115,107,1238429,0.384615385,0.675862069,0.530238727
1996,Maryland,0.06692203695358269,262,5061191,0.31372549,0.593984962,0.45385522599999994
1996,Massachusetts,0.10148232611174458,123,6085286,0.086538462,0.331606218,0.20907234
1996,Michigan,0.09387755102040816,633,9738383,0.308080808,0.624454148,0.466267478
1996,Minnesota,0.08656300765838942,252,4649871,0.347826087,0.573934837,0.460880462
1996,Mississippi,0.07527579493835172,237,2711110,0.746268657,0.806584362,0.7764265095
1996,Missouri,0.09340300457217506,492,5370987,0.340740741,0.7136,0.5271703705
1996,Montana,0.07114624505928854,119,877016,0.47826087,0.748344371,0.6133026205
1996,Nebraska,0.06818181818181818,105,1648665,0.4,0.647798742,0.523899371
1996,Nevada,0.09730033745781777,222,1600722,0.49122807,0.697841727,0.5945348985000001
1996,New Hampshire,0.07972972972972973,77,1159895,0.53125,0.628571429,0.5799107145
1996,New Jersey,0.08847271553115918,165,8012696,0.174242424,0.323788546,0.249015485
1996,New Mexico,0.10853432282003711,200,1708827,0.428571429,0.671755725,0.550163577
1996,New York,0.08931116389548693,486,18152225,0.14559387,0.422138837,0.2838663535
1996,North Carolina,0.06326825741142444,666,7311361,0.56741573,0.773972603,0.6706941665
1996,North Dakota,0.08536585365853659,26,643090,0.214285714,0.666666667,0.4404761905
1996,Ohio,0.056347150259067356,599,11174255,0.422459893,0.607843137,0.515151515
1996,Oklahoma,0.05906952430737062,314,3297071,0.540540541,0.738764045,0.639652293
1996,Oregon,0.09028017986855759,324,3196685,0.510638298,0.647887324,0.579262811
1996,Pennsylvania,0.08694420843953554,776,12039880,0.34439834,0.583824768,0.46411155400000004
1996,Rhode Island,0.09709270433351619,25,988523,0.277777778,0.476923077,0.3773504275
1996,South Carolina,0.09007053716766142,347,3738083,0.645454545,0.715762274,0.6806084095
1996,South Dakota,0.0438512869399428,65,737692,0.421052632,0.628571429,0.5248120304999999
1996,Tennessee,0.0840810900631439,490,5309337,0.525,0.76182136600000006,0.643410683
1996,Texas,0.09632751354605659,1449,19040111,0.485148515,0.688840022,0.5869942685
1996,Utah,0.09750173490631506,171,2023834,0.425531915,0.629166667,0.5273492909999999
1996,Vermont,0.08651502843216897,41,586602,0.666666667,0.683333333,0.675
1996,Virginia,0.07193460490463215,562,6671141,0.528089888,0.718894009,0.6234919485
1996,Washington,0.09098687963491157,454,5521159,0.330882353,0.643642072,0.4872622125
1996,West Virginia,0.06975772765246449,196,1821114,0.591836735,0.756521739,0.6741792369999999
1996,Wisconsin,0.08764759309718438,340,5176553,0.316831683,0.616,0.4664158415
1996,Wyoming,0.07646356033452807,59,480254,0.5,0.797297297,0.6486486485
1997,Alabama,0.09575471698113208,384,4323652,0.697247706,0.781637717,0.7394427115
1997,Alaska,0.08233731739707835,83,609905,0.37037037,0.742574257,0.5564723135
1997,Arizona,0.04206098843322818,496,4554698,0.492857143,0.693679092,0.5932681175
1997,Arkansas,0.09750566893424037,236,2524162,0.602941176,0.697916667,0.6504289215
1997,California,0.09572099925797675,1727,32195841,0.326873385,0.556099398,0.4414863915
1997,Colorado,0.09060773480662983,347,3893155,0.447154472,0.600409836,0.52378215400000006
1997,Connecticut,0.07772254857659286,106,3268358,0.176470588,0.466346154,0.321408371
1997,Delaware,0.0971451229183188,31,735489,0.142857143,0.438356164,0.2906066535
1997,District of Columbia,0.04882943143812709,13,531605,NA,NA,NA
1997,Florida,0.10562971561230412,1210,14680989,0.43107221,0.61730652,0.524189365
1997,Georgia,0.07007492287351257,645,7493486,0.549450549,0.755894591,0.65267257
1997,Hawaii,0.06520726595249185,31,1192720,0.071428571,0.345454545,0.208441558
1997,Idaho,0.08760771440295445,136,1209213,0.5,0.712707182,0.606353591
1997,Illinois,0.09189378057302586,401,11993792,0.25625,0.499325236,0.377787618
1997,Indiana,0.11044262999570262,448,5866490,0.417322835,0.659468439,0.538395637
1997,Iowa,0.0851063829787234,211,2854849,0.403225806,0.660777385,0.5320015955
1997,Kansas,0.04860759493670886,174,2602382,0.381818182,0.60754717,0.49468267600000004
